date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
15:21:30	0/0	---M--	301	error ('Moved%20Permanently')	text/html	date:Tue,%2022%20Sep%202020%2006:21:30%20GMT	http://nike747459.wixsite.com/mydiary	C:/My%20Web%20Sites/projectwix0922/nike747459.wixsite.com/mydiary.0.delayed	(from )
15:21:31	470487/470487	---MCZ	200	added ('OK')	text/html	date:Tue,%2022%20Sep%202020%2006:21:31%20GMT	https://nike747459.wixsite.com/mydiary	C:/My%20Web%20Sites/projectwix0922/nike747459.wixsite.com/mydiary.html	(from )
15:21:31	201/201	---M--	200	added ('OK')	text/plain	etag:W/%22c9-fPhna5f2Wf3Q8vo5B48mI7Y0z7w%22	https://nike747459.wixsite.com/robots.txt		(from )
15:21:32	137771/137771	---MCZ	200	added ('OK')	application/javascript	etag:W/%2218eb21e8d1074fd7a594d3748ba0cb33%22	https://static.parastorage.com/unpkg/core-js-bundle@3.2.1/minified.js	C:/My%20Web%20Sites/projectwix0922/static.parastorage.com/unpkg/core-js-bundle@3.2.1/minified.js	(from https://nike747459.wixsite.com/mydiary)
15:21:32	1171/1171	---MCZ	200	added ('OK')	application/javascript	etag:W/%22c187011c9a45c15a6fcbf5d62a5d755f%22	https://static.parastorage.com/unpkg/focus-within-polyfill@5.0.9/dist/focus-within-polyfill.js	C:/My%20Web%20Sites/projectwix0922/static.parastorage.com/unpkg/focus-within-polyfill@5.0.9/dist/focus-within-polyfill.js	(from https://nike747459.wixsite.com/mydiary)
15:21:32	36299/36299	---M-Z	200	added ('OK')	text/javascript	date:Wed,%2009%20Sep%202020%2023:11:05%20GMT	https://polyfill.io/v3/polyfill.min.js?features=fetch	C:/My%20Web%20Sites/projectwix0922/polyfill.io/v3/polyfill.mind82c.js	(from https://nike747459.wixsite.com/mydiary)
15:21:33	2997/2997	---MCZ	404	error ('Not%20Found')	text/html	date:Tue,%2022%20Sep%202020%2006:21:33%20GMT	https://nike747459.wixsite.com/mydiary/decodeURIComponent(e	C:/My%20Web%20Sites/projectwix0922/nike747459.wixsite.com/mydiary/decodeURIComponent(e	(from https://nike747459.wixsite.com/mydiary)
15:21:33	2953/2953	---MCZ	404	error ('Not%20Found')	text/html	date:Tue,%2022%20Sep%202020%2006:21:34%20GMT	https://nike747459.wixsite.com/mydiary/_api/santa-members-server	C:/My%20Web%20Sites/projectwix0922/nike747459.wixsite.com/mydiary/_api/santa-members-server	(from https://nike747459.wixsite.com/mydiary)
15:21:33	0/0	---M--	405	error ('Method%20Not%20Allowed')	text/html	date:Tue,%2022%20Sep%202020%2006:21:34%20GMT	https://nike747459.wixsite.com/mydiary/_api/wix-code-public-dispatcher/routers/data-binding	C:/My%20Web%20Sites/projectwix0922/nike747459.wixsite.com/mydiary/_api/wix-code-public-dispatcher/routers/data-binding	(from https://nike747459.wixsite.com/mydiary)
15:21:34	416568/416568	---M--	200	added ('OK')	image/png	etag:%2267f18ef1cef3afdd68201d0f44f5a2b2-1%22	https://static.parastorage.com//services/santa-resources/resources/viewer/editorUI/fonts.v10.png	C:/My%20Web%20Sites/projectwix0922/static.parastorage.com/services/santa-resources/resources/viewer/editorUI/fonts.v10.png	(from https://nike747459.wixsite.com/mydiary)
